match_title,match_id,team1_name,team2_name,team1_side,team2_side,team1_pick,team2_pick,winner,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
The International 11 Playoff,Game 2: 6817224250,Team Secret,Thunder Awaken,The Dire,The Radiant,,1st Pick,Secret,Primal Beast,Tiny,Chen,Dawnbreaker,Nyx Assassin,Marci,Silencer,Zeus,Storm Spirit,Pudge,Templar Assassin,Undying,Monkey King,Batrider,Kunkka,Crystal Maiden,Tidehunter,Ursa,Enigma,Drow Ranger,Viper,Bloodseeker,Slark,Leshrac
The International 11 Playoff,Game 1: 6816889894,Team Liquid,Entity,The Dire,The Radiant,,1st Pick,Liquid,Primal Beast,Broodmother,Marci,Nyx Assassin,Tiny,Enigma,Leshrac,Arc Warden,Lone Druid,Visage,Tusk,Ancient Apparition,Undying,Pudge,Spirit Breaker,Crystal Maiden,Naga Siren,Lifestealer,Venomancer,Morphling,Jakiro,Brewmaster,Slardar,Lich
The International 11 Playoff,Game 2: 6816943535,Team Liquid,Entity,The Radiant,The Dire,,1st Pick,Entity,Primal Beast,Broodmother,Marci,Nyx Assassin,Leshrac,Enigma,Tusk,Undying,Crystal Maiden,Visage,Ancient Apparition,Beastmaster,Faceless Void,Morphling,Pudge,Sniper,Tiny,Lina,Mars,Lycan,Jakiro,Brewmaster,Clockwerk,Snapfire
The International 11 Playoff,Game 3: 6817021418,Team Liquid,Entity,The Radiant,The Dire,,1st Pick,Liquid,Primal Beast,Nyx Assassin,Marci,Leshrac,Tiny,Enigma,Crystal Maiden,Broodmother,Naga Siren,Arc Warden,Pangolier,Sniper,Ursa,Morphling,Spirit Breaker,Pudge,Jakiro,Lifestealer,Shadow Fiend,Visage,Queen of Pain,Invoker,Puck,Ember Spirit
The International 11 Playoff,Game 1: 6816712704,OG,Gaimin Gladiators,The Radiant,The Dire,,1st Pick,OG,Timbersaw,Marci,Razor,Primal Beast,Enchantress,Naga Siren,Snapfire,Shadow Fiend,Sniper,Brewmaster,Morphling,Tidehunter,Mars,Legion Commander,Invoker,Tiny,Silencer,Slardar,Faceless Void,Beastmaster,Templar Assassin,Broodmother,Underlord,Monkey King
The International 11 Playoff,Game 2: 6816764482,OG,Gaimin Gladiators,The Dire,The Radiant,1st Pick,,GG,Undying,Razor,Shadow Fiend,Timbersaw,Pangolier,Primal Beast,Silencer,Viper,Marci,Lich,Broodmother,Templar Assassin,Enigma,Tiny,Crystal Maiden,Jakiro,Clockwerk,Lifestealer,Beastmaster,Morphling,Brewmaster,Slark,Faceless Void,Storm Spirit
The International 11 Playoff,Game 3: 6816829511,OG,Gaimin Gladiators,The Radiant,The Dire,,1st Pick,OG,Snapfire,Marci,Razor,Primal Beast,Undying,Naga Siren,Jakiro,Shadow Fiend,Morphling,Tidehunter,Sniper,Brewmaster,Faceless Void,Legion Commander,Invoker,Beastmaster,Disruptor,Sand King,Monkey King,Lifestealer,Bloodseeker,Pudge,Kunkka,Mirana
The International 11 Playoff,Game 1: 6815420310,PSG.LGD,BOOM Esports,The Dire,The Radiant,1st Pick,,PSG.LGD,Enigma,Marci,Undying,Primal Beast,Chen,Tusk,Crystal Maiden,Monkey King,Batrider,Beastmaster,Death Prophet,Leshrac,Pudge,Shadow Fiend,Mars,Kunkka,Snapfire,Lifestealer,Venomancer,Razor,Brewmaster,Morphling,Slardar,Phoenix
The International 11 Playoff,Game 2: 6815465825,PSG.LGD,BOOM Esports,The Radiant,The Dire,1st Pick,,PSG.LGD,Enigma,Chen,Marci,Primal Beast,Undying,Death Prophet,Hoodwink,Visage,Naga Siren,Leshrac,Pudge,Luna,Mars,Shadow Fiend,Kunkka,Earthshaker,Ember Spirit,Enchantress,Bristleback,Terrorblade,Slark,Morphling,Drow Ranger,Bloodseeker
The International 11 Playoff,Game 1: 6815303281,Shopify Rebellion,beastcoast,The Dire,The Radiant,,1st Pick,bc,Primal Beast,Clockwerk,Shadow Fiend,Naga Siren,Crystal Maiden,Broodmother,Hoodwink,Mars,Undying,Pangolier,Puck,Leshrac,Invoker,Timbersaw,Sven,Snapfire,Tiny,Ember Spirit,Lifestealer,Bloodseeker,Lone Druid,Juggernaut,Slark,Terrorblade
